review,sentiment
"It seems more than passing strange that such utter dreck as ""Dukes of Hazzard"" and ""The Hills Have Eyes"" (the new version) can find DVD distributors while older - and far superior works such as this film - are nowhere to be found. With all the on-going debate about the morality (or lack thereof) of warfare, and interest in espionage (consider the multiple Jack Ryan, Bourne, XXX, and ""Mission: Impossible"" productions, this would seem to be an obvious choice for release on DVD. True, it LOOKS like a 1968 motion picture because it IS a 1968 motion picture. But style consideration aside, this is still a production that actually has something valuable to say, and has plenty of plots twists to keep an audience entertained. If nothing else, will SOMEBODY please consider getting the soundtrack onto some kind of CD, whether it be a compilation with other Morricone music or as a stand-alone. I don't know if industry people bother to read what we fans have to say about their products, but if you are reading this and other comments, please take us seriously. We are paying for your lavish homes with our hard-earned dollars spent on tickets, DVDs and CDs - give us what we want! All that said, if you are reading this and have not seen this film, lobby for it's release so you may see what those of us who have seen it are talking about. You will not be disappointed.",positive
"An occasionally surrealistic thriller that will push most people's buttons., the 4th Man is sure to offend anyone with a taste for the politically correct. The story's protagonist is a bisexual alcoholic Catholic writer, Gerard (Krabbe), with a seriously twisted sense of imagination. Verhoeven offers up<br /><br />Gerard has an example of everything wrong with the modern man. He's shiftless, delusional, unable to control his urges, afraid to commit to<br /><br />meaningful relationships, and utterly apathetic about life in general. As the character himself states at one point, he is a professional liar, unable to recall the truth.<br /><br />The movie opens with Gerard dreaming of spiders consuming Christ, and then waking to begin the long march to his own destruction. He chases off<br /><br />one man (a boyfriend presumably), then chases another at a train station. Later, at a lecture, he meets a woman who seems to want to help him, or<br /><br />perhaps she has more nefarious plans.. She quickly captures Gerard in her web, enticing him with sex and money, having plenty of both. She's also got<br /><br />secrets, like three dead husbands. Is she lonely, and genuinely looking for someone to nurture - or is she a deadly black widow, luring Gerard to his<br /><br />death? Will Garard be the 4th man she kills? The woman is Christine (Soutendijk), and Verhoeven does his best to keep you guessing what she's up to.<br /><br />This is an interesting movie, with a lot of sex and intrigue. It's similar to Verhoeven's<em>Basic instinct</em>, but has a lot more depth, and is certainly more shocking. There's a lot of very strong gay content, which may make some viewers squirm. Highly recommended for fans of intelligent<br /><br />psychological thrillers, or anyone looking for something entirely new.",positive
"This movie is difficult to watch in our fast-paced culture of the 21st century, but it is worth it for the messages that it conveys, chiefly the consequences and ramifications of technology upon society, specifically when that technology is used for warfare.<br /><br />This movie presents a full circle cycle of dehumanization and rehumanization as influenced by the advent of technology and the subsequent deconstruction of civilization and therefore serves as a cautionary tale against the misuse of technology, but as the circle completes itself, familiar themes and sentiments pop up again to present self-serving rather than self-destructive ways that humanity may utilize technology.<br /><br />Brilliant for it's time, the picture and sound quality may pose a challenge for some, but as a landmark in the history, development, and evolution of the sci-fi genre, it is a must. In the end, free will and free choice are once again posed to humanity as a means for controlling our own destiny rather than having it served to us by someone else or indeed, the state of<br /><br />society itself, as shaped by world events.<br /><br />Those who are downtrodden by what life throws their way sometimes tend to remain so, but yet there is always a glimmer of hope and continuity that remains, as this film posits.<br /><br />As far as qualifying as sci-fi, one of the biggest common demoninators of that genre is it's speculative nature. It asks us the questions, what if these events happened this way, and what effect would it have on society or the individuals within it? How would we react?<br /><br />As far as influence, this film projects those speculative sciences that make sci-fi as unique as it is and keeps us asking those important questions.",positive
"Three teenage girls in an incomplete triangular relation. The base of the triangle is barely there. At the apex is Marie, a serious, short and lean tomboy with a Belmondo-like facial structure. Her best friend is the physical and psychological opposite: coquette, chubby -- I dare say fat -- and desirous for her first kiss with a boy but not quite ready for her first sexual encounter. Because of her chubbiness, boys don't seem interested and it pains her.<br /><br />The other leg of the apex is a beautiful ""fille fatale"" blonde vamp. She is deeply involved in the sport of synchronized swimming performing at competitive level. Marie sees her during a competition at the local public swimming pool. Marie insinuates herself into the life of the vamp using the desire to become a synchronized swimmer as an argument. The vamp has a reputation of being a whore, making out with any young male that orbits around her. Marie is not phased out by that reputation. Put a stress on reputation.<br /><br />The first half is set up. We get to see a lot of synchronized swimming as we become familiar with the three girls. Eventually the narrative leaves synchronized swimming behind and concentrates on the topsy-turvy relations among the three. That's when unexpected things start to happen.<br /><br />It is a trademark of French films to drop nuggets of wisdom on the viewer. This one is no exception. Here it is about ceilings and the dying. See the film to learn more.<br /><br />The director says that the use of synchronized swimming is purposeful. That women-only sport is a metaphor for a girl's life: pretty and feminine on the surface while hard working and competitive underneath. A number of scenes drive this point: elegant moves and smiles for the public, legs kicking ungainly underwater. The title in French is also suggestive: ""prieuve"", or octopus, suggest an individual having to juggle many pressures simultaneously.",positive
"Of all the kung-fu films made through the 70's and 80's this is one that has developed a real cult following. With the exception of all the films Bruce Lee starred in this is a film that has stood the test of time and its due to the unique story. An aging kung-fu master tells his last pupil Yang Tieh (Sheng Chiang) about five pupils he has trained in the past. All five wore masks and nobody has seen the face of each other and they have all been trained differently. Their specialty in kung-fu is the name they have adopted like Lizard, Snake, Centipede, Toad and Scorpion. The master called them the Poison Clan and he does not know what has happened to them so he wants Tieh to find them and help the ones that are doing good to stop the others that are evil. An old man who was once a member of the Poison Clan has a map to where he has hidden a lot of money and he seems to be a target. Tieh does not know what they look like so he has to mingle in society and try and figure out who they are. Tieh has discovered that the Snake is Hung Wen Tung (Pai Wei) and along with Tang Sen Kue (Feng Lu) who is the Centipede they kill a family to find the map. A map is found by a mystery man who turns out to be the Scorpion but know one knows who he is. A local policeman named Ho Yung Sin (Philip Kwok) investigates the murders along with his partner Ma Chow (Chien Sun). Sin has a friend called Li Ho (Meng Lo) who is the Toad and they do know of each others identity. The Snake bribes the local officials to pin the murders on Li Ho and while he is in prison he is tortured and killed. When Sin finds out he teams up with Tieh and together they go to combat Tung and Kue. <br /><br />This film was directed by Cheh Chang and he was a very special director when it came to these films. Chang was not your run of the mill kung-fu director and his films always had a special quality to them. While most martial arts films deal with revenge Chang did not use that as a central theme. Even though there is some revenge going on later in this story this film is more complex than that. Five men trained by the same master in different ways and wearing masks. Then they are all in the same area and not knowing who the other is. Very unique story makes this film different from all the others and most of Changs stories were in a class all by themselves. I wouldn't exactly put it in the same league as ""Enter The Dragon"" because Bruce Lee was a worldwide icon and the martial arts he exhibited were more authentic looking. This film still has some impossible feats like clinging to sides of walls and all the flipping through the air but this film isn't necessarily about fight scenes. Its more about the intrigue of the story and the characters that are involved. That alone makes this different from all the other kung-fu films. Very well made with a unique story.",positive
"I went to a small advance screening of this movie on July 19th, knowing no more than the names of a few of the actors and that it was a fantasy/adventure quest of some sort.<br /><br />The plot line really is nothing like I have seen, and a unique story is certainly appreciated with everything else that is currently in or coming soon to theaters. In spite of what first impressions may give, it isn't cheesy, corny, tacky, or ridiculous, and is actually highly entertaining and funny. The flow is quite well done, nothing seems rushed or dragged out. The soundtrack, for lack of better words, is magical and adds much to the film, as opposed to simply filling the silence as often happens in movies or TV. And even though I might have known what was coming at points, I still couldn't bear to stop watching the screen; to my knowledge, not a single person left the theater during the entire movie.<br /><br />My one gripe is that there seems to be almost no marketing for this film, and as brilliant as it is I can't figure out why.",positive
"On the basis of the preview I'd seen, I went to ""Shower"" expecting a sweet little comedy; what I found was a profoundly touching drama of family life told in some of the most lush photographic images I've ever been privileged to see. In addition, later reflection made me appreciate the abrupt cuts to scenes from the past (in the arid countryside of Northern China, and in the high plain of Tibet): isn't this how memory often works? One moment I'm here, the next I'm in a landscape from the past, just like that....<br /><br />I would not only strongly recommend this film, I would place it among the two or three finest films I've seen in my 60 years.<br /><br />By the way, a couple of years ago another Asian ""comedy"" was released in the United States as ""Shall We Dance?"" (Japanese). Just as with ""Shower,"" the preview gave not the slightest indication of the depth of that film, which turned out to be a subtle psychological study (albeit chock full of funny moments). Is there a fear, on the part of distributors, of making films appear too ""important"" or ""deep"" to appeal to U. S. viewers?",positive
"As drunken millionaire playboy Arthur Bach, Dudley Moore is perfect as a grown man trapped in childhood. As it turned out, the role fit Moore so perfectly, it trapped him as an actor as well. Many disappointments soon followed (including this film's pale sequel), yet that doesn't diminish the charm or appeal of this picture, which is cleverly written and directed. Some of Moore's drunk scenes are forced, parts of the film are wobbly, but the cast performs with so much relish it's a difficult movie to resist. It has a very big heart and gives Oscar-winner John Gielgud a sly, dryly amusing role as Arthur's valet, Hobson; his relationship with Arthur is delicious and they have a miraculous rapport. Liza Minnelli (as a blue-collar love-interest) is sassy in a low-key and Moore is brash, but deft and lively; he never shook off the shadow of Arthur, but at least we have this document of a career high-point to cherish. *** from ****",positive
"""Night of the Living Homeless"" was a fairly strong finish to the first half of Season 11. Obviously a parody of various zombie movies, most notably Dawn of the Dead, this episode parallels the homeless with the living dead, as creatures who feed and thrive off of spare change rather than brains.<br /><br />Kyle is blamed for the sudden mass outbreak of homeless people when he, out of the goodness of his heart, gives a $20 to a homeless man in front of his house. More homeless people begin to infiltrate South Park, until the town is completely overrun with them. This is a very strong Randy Marsh episode, as he assumes the role of the shotgun-wielding leader of the adults who take refuge on the roof of the Park County Community Center. But before Randy makes it to the community center, he is accosted by hundreds of homeless people while hilariously screaming ""I don't have any change!!"" Unfortunately, the refugees end up losing Gerald Broflofski to the homeless, when he tries to escape by catching a bus out of town, and unwittingly tosses away all his change for the bus to distract the homeless people. Then he becomes one of them, asking everyone for change.<br /><br />The boys attempt to find out why there are so many homeless people in South Park, and find a man who is a director of homeless studies. They find out that the nearby city of Evergreen used to have a similar problem with the homeless, so they escape to Evergreen to find out what they did to solve the problem. Unfortunately, homeless people break into the man's house, and he attempts to take the easy way out by shooting himself. However, he fails several times, as he shoots himself in the jaw, in the eye, in the chest, in the neck, in the shoulder, screaming horribly until he finally dies. This scene may have been funnier had a similar scene not happened in ""Fantastic Easter Special"" two weeks ago.<br /><br />Meanwhile, a member of the refugees discovers that due to the homeless problem, the property values have nosedived, thus the bank has foreclosed on his house, making him homeless. Randy immediately turns on him, holding the gun to the man's head. When the man finally begs the others for a few bucks to help him out, Randy pulls the trigger.<br /><br />In Evergreen, the boys find out that the citizens of the town sent the homeless to South Park, and that the passing of homeless from town to town happens all over the country. The boys modify a bus that leads the homeless out of South Park and takes them all the way to Santa Monica, California.<br /><br />The zombie movie parallels and the great Randy Marsh lines make this one definitely re-watchable. 8/10",positive
"Enjoyed viewing this film on TCM and watching a very young William Powell, (Philo Vance) playing detective just like he did with Myrna Loy in the ""Thin Man Series"". Back in the 1930's William Powell played in the Philo Vance Series and in this picture, the famous veteran actress Mary Astor, (Hilda Lake) becomes one of the suspects in a murder/suicide case where a man named, Archer Coe, (Robert Barrot) is found dead and Archer was in a room that was bolted from the inside. Ralph Morgan, (Raymond Wrede/Archer's Secretary) gave a great supporting role and was the brother to Frank Morgan who appeared ""In the Wizard of Oz"" 1939. Eugene Palette, (Detective Sgt. Heath) appeared in quite a few of these Philo Vance films and also gave a great performance in ""Robin Hood"" with Errol Flynn. Always remember, the least likely actor could very well be the killer. Enjoy a great Classic from the past.",positive
"I've recently went back and watched this movie again from not seeing it in years. When I first seen the movie I was too young to understand what the movie was about. Now that I've seen it again I couldn't believe what I've missed all these years. For me being able to see movies for what they are, I think that this movie was great. Most people feel as though the music are the best part, but I don't think that's true. Most people don't realize how good the story is because it's judge by the acting. The truth of the matter is that no one in the movie were really trying to act rather they were just being themselves. The entire main cast were just playing themselves. They weren't trying to be anyone else, but themselves.<br /><br />I've actually watched and analyzed the work and effort put into the movie. Now from my perspective, the situations shown in the movie are pretty much based on what actually went on musically in Minneapolis at the time and it's most of the things that happen are actually true events that happened in Prince's career and who can tell it better than him? The music that was coming from the city at the time was starting to be recognized and be revolutionary. It was interesting to see how the music was very influential mainly at the club ""First Avenue & 7th St Entry"" where in fact Prince, among other musicians, got their career started. It's also a known fact that Prince and Morris Day always had a competition with each other in real life, but it was a friendly competition. They were always friends. So the story basically plays off of that competition aspect of their rivalry rather than their friendship which shows the true competitive side of what occurred at club ""First Avenue"" for it's time.<br /><br />Another reason why this movie is good is due to the fact that some of the situations that occur in the movie are actually based on events that Prince has gone through in his life with the music aspect and the personal. To me, this made the movie more realistic as far as the emotion because he's telling his trials and tribulations pre-superstardom. Plus, his dedication he puts into his performances is phenomenal. Prince made sure that every moment in the movie was done perfectly. Anytime you hear a song play in the movie it's in perfect sync with the situation at hand.<br /><br />Prince is in all a musical genius and he has proved it on many occasions. This movie is what really put Prince on the map officially and he hasn't slowed down since. Anyone who has watched this movie or still (unbelieveably) hasn't watched it yet, when you sit down and view this film you have have to watch it with intellect or you will miss the whole aspect of the movie. If you really love music this is definitely the movie to watch. Above what anyone else says I think it's a great movie to watch and own.",positive
"Yeah, it's a chick flick and it moves kinda slow, but it's actually pretty good - and I consider myself a manly man. You gotta love Judy Davis, no matter what she's in, and the girl who plays her daughter gives a natural, convincing performance.<br /><br />The scenery of the small, coastal summer spot is beautiful and plays well with the major theme of the movie. The unknown (at least unknown to me) actors and actresses lend a realism to the movie that draws you in and keeps your attention. Overall, I give it an 8/10. Go see it.",positive
"Regardless of what personal opinion one may have of Walerian Borowczyk grotesque yet beautiful gem ""La bête"" of 1975, one has to admit that this bizarre gem is an absolutely unique cinematic experience. Borowczyk erotic fairy tale was banned in several countries for a long time, and it is quite obvious why this controversial gem fell victim to stuporous film censors. ""La bête"" is a fascinating blend of intense and beautiful fairy-tale-like atmosphere, quite explicit eroticism and genuine weirdness that bravely refuses to take any compromise. The fact that beastiality (of sorts) is one of the film's central themes did certainly not help it with the censors, but it made it highly controversial and therefore known to a wider audience.<br /><br />Pierre de l'Esperance (Guy Tréjan), the head of a French aristocratic family, has arranged for his somewhat demented son Mathurin (Pierre Benedetti) to marry Lucy Broadhurst (Lisbeth Hummel), the young and beautiful daughter of a wealthy English family. Due to an old curse, Mathurin's uncle (Marcel Dalió) is strictly against the wedding. When Lucy and her mother arrive at the French estate, Lucy immediately gets fascinated with a portrait of the 18th century ancestor Romilda (Sirpa Lane), and with an old book depicting bizarre drawings. The story soon descends into a bizarre sexual fever-dream... Without giving away too much, I can say that fans of exceptional cinema should not consider missing this film. As bizarre as it is, ""La bête"" is doubtlessly also stunningly beautiful in style, settings and cinematography. The fever-dream-like atmosphere is present within- and out of dream-sequences. The forest estate and the imposing family mansion are magnificent settings, and the beautiful score and incredible cinematography build an overwhelming atmosphere for this grotesque tale. The very explicit sexuality ranges from erotic (elegant female nudity, ravishing actresses) to seriously demented and even somewhat disgusting (close-ups on horses' genitalia while having intercourse,...); in either case it is not likely to be forgotten. The entire cast of ""La bête"" is fantastic and all involved deliver great performances in eccentric characters (some of which are seriously demented). The film profits from an exceptionally beautiful cast, be it Lisbeth Hummel in the lead, Finnish actress Sirpa Lane (who sadly died of Aids in 1999) as the ancestor in the dream-sequences, or the relatively unknown but particularly ravishing actress Pascale Rivault, who plays the aristocratic daughter who takes ever opportunity to have sex with a black servant in a cupboard.<br /><br />I am intentionally not giving a full description of the most important parts of the plot as they simply have to be seen to be believed. Some scenes are among the most bizarre ever caught on film, the scenes with the eponymous 'beast' definitely being among them. Certainly not everybody's cup of tea, but very highly recommended to fans of controversial and unusual cinema. A true cult gem!",positive
